lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,Song of Solomon,SNG,1,1,"The Song of songs, which is Solomon’s. "
eng,ASV,Song of Solomon,SNG,1,2,Let him kiss me with the kisses of his mouth; For thy love is better than wine. 
eng,ASV,Song of Solomon,SNG,1,3,Thine oils have a goodly fragrance; Thy name is as oil poured forth; Therefore do the virgins love thee. 
eng,ASV,Song of Solomon,SNG,1,4,Draw me; we will run after thee: The king hath brought me into his chambers; We will be glad and rejoice in thee; We will make mention of thy love more than of wine: Rightly do they love thee. 
eng,ASV,Song of Solomon,SNG,1,5,"I am black, but comely, Oh ye daughters of Jerusalem, As the tents of Kedar, As the curtains of Solomon. "
eng,ASV,Song of Solomon,SNG,1,6,"Look not upon me, because I am swarthy, Because the sun hath scorched me. My mother’s sons were incensed against me; They made me keeper of the vineyards; But mine own vineyard have I not kept. "
eng,ASV,Song of Solomon,SNG,1,7,"Tell me, O thou whom my soul loveth, Where thou feedest thy flock, Where thou makest it to rest at noon: For why should I be as one that is veiled Beside the flocks of thy companions? "
eng,ASV,Song of Solomon,SNG,1,8,"If thou know not, O thou fairest among women, Go thy way forth by the footsteps of the flock, And feed thy kids beside the shepherds’ tents. "
eng,ASV,Song of Solomon,SNG,1,9,"I have compared thee, O my love, To a steed in Pharaoh’s chariots. "
eng,ASV,Song of Solomon,SNG,1,10,"Thy cheeks are comely with plaits of hair, Thy neck with strings of jewels. "
eng,ASV,Song of Solomon,SNG,1,11,We will make thee plaits of gold With studs of silver. 
eng,ASV,Song of Solomon,SNG,1,12,"While the king sat at his table, My spikenard sent forth its fragrance. "
eng,ASV,Song of Solomon,SNG,1,13,"My beloved is unto me as a bundle of myrrh, That lieth betwixt my breasts. "
eng,ASV,Song of Solomon,SNG,1,14,My beloved is unto me as a cluster of henna-flowers In the vineyards of En-gedi. 
eng,ASV,Song of Solomon,SNG,1,15,"Behold, thou art fair, my love; Behold thou art fair; Thine eyes are as doves. "
eng,ASV,Song of Solomon,SNG,1,16,"Behold, thou art fair, my beloved, yea, pleasant: Also our couch is green. "
eng,ASV,Song of Solomon,SNG,1,17,"The beams of our house are cedars, And our rafters are firs."
eng,ASV,Song of Solomon,SNG,2,1,"I am a rose of Sharon, A lily of the valleys. "
eng,ASV,Song of Solomon,SNG,2,2,"As a lily among thorns, So is my love among the daughters. "
eng,ASV,Song of Solomon,SNG,2,3,"As the apple-tree among the trees of the wood, So is my beloved among the sons. I sat down under his shadow with great delight, And his fruit was sweet to my taste. "
eng,ASV,Song of Solomon,SNG,2,4,"He brought me to the banqueting-house, And his banner over me was love. "
eng,ASV,Song of Solomon,SNG,2,5,"Stay ye me with raisins, refresh me with apples; For I am sick from love. "
eng,ASV,Song of Solomon,SNG,2,6,"His left hand is under my head, And his right hand doth embrace me. "
eng,ASV,Song of Solomon,SNG,2,7,"I adjure you, O daughters of Jerusalem, By the roes, or by the hinds of the field, That ye stir not up, nor awake my love, Until he please. "
eng,ASV,Song of Solomon,SNG,2,8,"The voice of my beloved! behold, he cometh, Leaping upon the mountains, Skipping upon the hills. "
eng,ASV,Song of Solomon,SNG,2,9,"My beloved is like a roe or a young hart: Behold, he standeth behind our wall; He looketh in at the windows; He glanceth through the lattice. "
eng,ASV,Song of Solomon,SNG,2,10,"My beloved spake, and said unto me, Rise up, my love, my fair one, and come away. "
eng,ASV,Song of Solomon,SNG,2,11,"For, lo, the winter is past; The rain is over and gone; "
eng,ASV,Song of Solomon,SNG,2,12,"The flowers appear on the earth; The time of the singing of birds is come, And the voice of the turtle-dove is heard in our land; "
eng,ASV,Song of Solomon,SNG,2,13,"The fig-tree ripeneth her green figs, And the vines are in blossom; They give forth their fragrance. Arise, my love, my fair one, and come away. "
eng,ASV,Song of Solomon,SNG,2,14,"O my dove, that art in the clefts of the rock, In the covert of the steep place, Let me see thy countenance, Let me hear thy voice; For sweet is thy voice, and thy countenance is comely. "
eng,ASV,Song of Solomon,SNG,2,15,"Take us the foxes, the little foxes, That spoil the vineyards; For our vineyards are in blossom. "
eng,ASV,Song of Solomon,SNG,2,16,"My beloved is mine, and I am his: He feedeth his flock among the lilies. "
eng,ASV,Song of Solomon,SNG,2,17,"Until the day be cool, and the shadows flee away, Turn, my beloved, and be thou like a roe or a young hart Upon the mountains of Bether."
eng,ASV,Song of Solomon,SNG,3,1,"By night on my bed I sought him whom my soul loveth: I sought him, but I found him not. "
eng,ASV,Song of Solomon,SNG,3,2,"I said, I will rise now, and go about the city; In the streets and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not. "
eng,ASV,Song of Solomon,SNG,3,3,"The watchmen that go about the city found me; To whom I said, Saw ye him whom my soul loveth? "
