lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,2 Corinthians,2CO,1,1,"Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother, unto the church of God which is at Corinth, with all the saints that are in the whole of Achaia:"
eng,ASV,2 Corinthians,2CO,1,2,Grace to you and peace from God our Father and the Lord Jesus Christ. 
eng,ASV,2 Corinthians,2CO,1,3,"Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort;"
eng,ASV,2 Corinthians,2CO,1,4,"who comforteth us in all our affliction, that we may be able to comfort them that are in any affliction, through the comfort wherewith we ourselves are comforted of God."
eng,ASV,2 Corinthians,2CO,1,5,"For as the sufferings of Christ abound unto us, even so our comfort also aboundeth through Christ."
eng,ASV,2 Corinthians,2CO,1,6,"But whether we are afflicted, it is for your comfort and salvation; or whether we are comforted, it is for your comfort, which worketh in the patient enduring of the same sufferings which we also suffer:"
eng,ASV,2 Corinthians,2CO,1,7,"and our hope for you is stedfast; knowing that, as ye are partakers of the sufferings, so also are ye of the comfort."
eng,ASV,2 Corinthians,2CO,1,8,"For we would not have you ignorant, brethren, concerning our affliction which befell us in Asia, that we were weighed down exceedingly, beyond our power, insomuch that we despaired even of life:"
eng,ASV,2 Corinthians,2CO,1,9,"yea, we ourselves have had the sentence of death within ourselves, that we should not trust in ourselves, but in God who raiseth the dead:"
eng,ASV,2 Corinthians,2CO,1,10,"who delivered us out of so great a death, and will deliver: on whom we have set our hope that he will also still deliver us;"
eng,ASV,2 Corinthians,2CO,1,11,"ye also helping together on our behalf by your supplication; that, for the gift bestowed upon us by means of many, thanks may be given by many persons on our behalf. "
eng,ASV,2 Corinthians,2CO,1,12,"For our glorying is this, the testimony of our conscience, that in holiness and sincerity of God, not in fleshly wisdom but in the grace of God, we behaved ourselves in the world, and more abundantly to you-ward."
eng,ASV,2 Corinthians,2CO,1,13,"For we write no other things unto you, than what ye read or even acknowledge, and I hope ye will acknowledge unto the end:"
eng,ASV,2 Corinthians,2CO,1,14,"as also ye did acknowledge us in part, that we are your glorying, even as ye also are ours, in the day of our Lord Jesus. "
eng,ASV,2 Corinthians,2CO,1,15,"And in this confidence I was minded to come first unto you, that ye might have a second benefit;"
eng,ASV,2 Corinthians,2CO,1,16,"and by you to pass into Macedonia, and again from Macedonia to come unto you, and of you to be set forward on my journey unto Judæa."
eng,ASV,2 Corinthians,2CO,1,17,"When I therefore was thus minded, did I show fickleness? or the things that I purpose, do I purpose according to the flesh, that with me there should be the yea yea and the nay nay?"
eng,ASV,2 Corinthians,2CO,1,18,"But as God is faithful, our word toward you is not yea and nay."
eng,ASV,2 Corinthians,2CO,1,19,"For the Son of God, Jesus Christ, who was preached among you by us, even by me and Silvanus and Timothy, was not yea and nay, but in him is yea."
eng,ASV,2 Corinthians,2CO,1,20,"For how many soever be the promises of God, in him is the yea: wherefore also through him is the Amen, unto the glory of God through us."
eng,ASV,2 Corinthians,2CO,1,21,"Now he that establisheth us with you in Christ, and anointed us, is God;"
eng,ASV,2 Corinthians,2CO,1,22,"who also sealed us, and gave us the earnest of the Spirit in our hearts. "
eng,ASV,2 Corinthians,2CO,1,23,"But I call God for a witness upon my soul, that to spare you I forbare to come unto Corinth."
eng,ASV,2 Corinthians,2CO,1,24,"Not that we have lordship over your faith, but are helpers of your joy: for in faith ye stand fast."
eng,ASV,2 Corinthians,2CO,2,1,"But I determined this for myself, that I would not come again to you with sorrow."
eng,ASV,2 Corinthians,2CO,2,2,"For if I make you sorry, who then is he that maketh me glad but he that is made sorry by me?"
eng,ASV,2 Corinthians,2CO,2,3,"And I wrote this very thing, lest, when I came, I should have sorrow from them of whom I ought to rejoice; having confidence in you all, that my joy is the joy of you all."
eng,ASV,2 Corinthians,2CO,2,4,"For out of much affliction and anguish of heart I wrote unto you with many tears; not that ye should be made sorry, but that ye might know the love which I have more abundantly unto you. "
eng,ASV,2 Corinthians,2CO,2,5,"But if any hath caused sorrow, he hath caused sorrow, not to me, but in part (that I press not too heavily) to you all."
eng,ASV,2 Corinthians,2CO,2,6,Sufficient to such a one is this punishment which was inflicted by the many;
eng,ASV,2 Corinthians,2CO,2,7,"so that contrariwise ye should rather forgive him and comfort him, lest by any means such a one should be swallowed up with his overmuch sorrow."
eng,ASV,2 Corinthians,2CO,2,8,Wherefore I beseech you to confirm your love toward him.
eng,ASV,2 Corinthians,2CO,2,9,"For to this end also did I write, that I might know the proof of you, whether ye are obedient in all things."
eng,ASV,2 Corinthians,2CO,2,10,"But to whom ye forgive anything, I forgive also: for what I also have forgiven, if I have forgiven anything, for your sakes have I forgiven it in the presence of Christ;"
eng,ASV,2 Corinthians,2CO,2,11,that no advantage may be gained over us by Satan: for we are not ignorant of his devices. 
eng,ASV,2 Corinthians,2CO,2,12,"Now when I came to Troas for the gospel of Christ, and when a door was opened unto me in the Lord,"
eng,ASV,2 Corinthians,2CO,2,13,"I had no relief for my spirit, because I found not Titus my brother: but taking my leave of them, I went forth into Macedonia. "
eng,ASV,2 Corinthians,2CO,2,14,"But thanks be unto God, who always leadeth us in triumph in Christ, and maketh manifest through us the savor of his knowledge in every place."
eng,ASV,2 Corinthians,2CO,2,15,"For we are a sweet savor of Christ unto God, in them that are saved, and in them that perish;"
eng,ASV,2 Corinthians,2CO,2,16,to the one a savor from death unto death; to the other a savor from life unto life. And who is sufficient for these things?
eng,ASV,2 Corinthians,2CO,2,17,"For we are not as the many, corrupting the word of God: but as of sincerity, but as of God, in the sight of God, speak we in Christ."
eng,ASV,2 Corinthians,2CO,3,1,"Are we beginning again to commend ourselves? or need we, as do some, epistles of commendation to you or from you?"
eng,ASV,2 Corinthians,2CO,3,2,"Ye are our epistle, written in our hearts, known and read of all men;"
eng,ASV,2 Corinthians,2CO,3,3,"being made manifest that ye are an epistle of Christ, ministered by us, written not with ink, but with the Spirit of the living God; not in tables of stone, but in tables that are hearts of flesh."
eng,ASV,2 Corinthians,2CO,3,4,And such confidence have we through Christ to God-ward:
eng,ASV,2 Corinthians,2CO,3,5,"not that we are sufficient of ourselves, to account anything as from ourselves; but our sufficiency is from God;"
eng,ASV,2 Corinthians,2CO,3,6,"who also made us sufficient as ministers of a new covenant; not of the letter, but of the spirit: for the letter killeth, but the spirit giveth life."
eng,ASV,2 Corinthians,2CO,3,7,"But if the ministration of death, written, and engraven on stones, came with glory, so that the children of Israel could not look stedfastly upon the face of Moses for the glory of his face; which glory was passing away:"
eng,ASV,2 Corinthians,2CO,3,8,how shall not rather the ministration of the spirit be with glory?
