lang,version,book_name,book_abbr,chapter_num,verse_num,verse_text
eng,ASV,1 Thessalonians,1TH,1,1,"Paul, and Silvanus, and Timothy, unto the church of the Thessalonians in God the Father and the Lord Jesus Christ: Grace to you and peace. "
eng,ASV,1 Thessalonians,1TH,1,2,"We give thanks to God always for you all, making mention of you in our prayers;"
eng,ASV,1 Thessalonians,1TH,1,3,"remembering without ceasing your work of faith and labor of love and patience of hope in our Lord Jesus Christ, before our God and Father;"
eng,ASV,1 Thessalonians,1TH,1,4,"knowing, brethren beloved of God, your election,"
eng,ASV,1 Thessalonians,1TH,1,5,"how that our gospel came not unto you in word only, but also in power, and in the Holy Spirit, and in much assurance; even as ye know what manner of men we showed ourselves toward you for your sake."
eng,ASV,1 Thessalonians,1TH,1,6,"And ye became imitators of us, and of the Lord, having received the word in much affliction, with joy of the Holy Spirit;"
eng,ASV,1 Thessalonians,1TH,1,7,so that ye became an ensample to all that believe in Macedonia and in Achaia.
eng,ASV,1 Thessalonians,1TH,1,8,"For from you hath sounded forth the word of the Lord, not only in Macedonia and Achaia, but in every place your faith to God-ward is gone forth; so that we need not to speak anything."
eng,ASV,1 Thessalonians,1TH,1,9,"For they themselves report concerning us what manner of entering in we had unto you; and how ye turned unto God from idols, to serve a living and true God,"
eng,ASV,1 Thessalonians,1TH,1,10,"and to wait for his Son from heaven, whom he raised from the dead, even Jesus, who delivereth us from the wrath to come."
eng,ASV,1 Thessalonians,1TH,2,1,"For yourselves, brethren, know our entering in unto you, that it hath not been found vain:"
eng,ASV,1 Thessalonians,1TH,2,2,"but having suffered before and been shamefully treated, as ye know, at Philippi, we waxed bold in our God to speak unto you the gospel of God in much conflict."
eng,ASV,1 Thessalonians,1TH,2,3,"For our exhortation is not of error, nor of uncleanness, nor in guile:"
eng,ASV,1 Thessalonians,1TH,2,4,"but even as we have been approved of God to be intrusted with the gospel, so we speak; not as pleasing men, but God who proveth our hearts."
eng,ASV,1 Thessalonians,1TH,2,5,"For neither at any time were we found using words of flattery, as ye know, nor a cloak of covetousness, God is witness;"
eng,ASV,1 Thessalonians,1TH,2,6,"nor seeking glory of men, neither from you nor from others, when we might have claimed authority as apostles of Christ."
eng,ASV,1 Thessalonians,1TH,2,7,"But we were gentle in the midst of you, as when a nurse cherisheth her own children:"
eng,ASV,1 Thessalonians,1TH,2,8,"even so, being affectionately desirous of you, we were well pleased to impart unto you, not the gospel of God only, but also our own souls, because ye were become very dear to us."
eng,ASV,1 Thessalonians,1TH,2,9,"For ye remember, brethren, our labor and travail: working night and day, that we might not burden any of you, we preached unto you the gospel of God."
eng,ASV,1 Thessalonians,1TH,2,10,"Ye are witnesses, and God also, how holily and righteously and unblamably we behaved ourselves toward you that believe:"
eng,ASV,1 Thessalonians,1TH,2,11,"as ye know how we dealt with each one of you, as a father with his own children, exhorting you, and encouraging you, and testifying,"
eng,ASV,1 Thessalonians,1TH,2,12,"to the end that ye should walk worthily of God, who calleth you into his own kingdom and glory. "
